Date;Real_GDP_growth;Nominal_GDP_growth;Real_disposable_income_growth;Nominal_disposable_income_growth;Unemployment_rate;CPI_inflation_rate;3_month_Treasury_rate;5-year_Treasury_yield;10-year_Treasury_yield;BBB_corporate_yield;Mortgage_rate;Prime_rate;Dow_Jones;Index_House_Price_Index;Commercial_Real_Estate_Price_Index;Market_Volatility_Index
Q1 2000;1.5;4.2;7.2;10.7;4.0;4.0;5.5;6.6;6.7;8.3;8.3;8.7;14296;102;125;27.0
Q2 2000;7.5;10.2;4.8;6.8;3.9;3.2;5.7;6.5;6.4;8.6;8.3;9.2;13619;105;134;33.5
Q3 2000;0.4;2.8;5.4;8.1;4.0;3.7;6.0;6.1;6.1;8.2;8.0;9.5;13613;107;143;21.9
Q4 2000;2.4;4.6;2.7;5.1;3.9;2.9;6.0;5.6;5.8;8.0;7.6;9.5;12176;110;146;31.7
Q1 2001;-1.3;1.3;3.2;6.3;4.2;3.9;4.8;4.9;5.3;7.5;7.0;8.6;10646;112;144;32.8
Q2 2001;2.5;5.0;-0.3;1.6;4.4;2.8;3.7;4.9;5.5;7.5;7.1;7.3;11407;114;145;34.7
Q3 2001;-1.6;0.0;9.5;9.7;4.8;1.1;3.2;4.6;5.3;7.2;7.0;6.6;9563;116;146;43.7
Q4 2001;1.1;2.4;-6.5;-6.3;5.5;-0.3;1.9;4.2;5.1;7.1;6.8;5.2;10708;118;139;35.3
Q1 2002;3.4;4.7;9.9;10.8;5.7;1.3;1.7;4.5;5.4;7.4;7.0;4.8;10776;120;143;26.1
Q2 2002;2.5;3.9;3.2;6.3;5.8;3.2;1.7;4.5;5.4;7.5;6.8;4.8;9384;124;141;28.4
Q3 2002;1.6;3.6;0.5;2.6;5.7;2.2;1.6;3.4;4.5;7.2;6.3;4.8;7774;127;144;45.1
Q4 2002;0.5;2.8;2.5;4.4;5.9;2.4;1.3;3.1;4.3;6.9;6.1;4.5;8343;129;150;42.6
Q1 2003;2.1;4.1;0.1;3.2;5.9;4.2;1.2;2.9;4.2;6.2;5.8;4.3;8052;132;155;34.7
Q2 2003;3.6;5.1;4.6;5.0;6.1;-0.7;1.0;2.6;3.8;5.3;5.5;4.2;9342;135;153;29.1
Q3 2003;6.8;9.3;7.0;9.8;6.1;3.0;0.9;3.1;4.4;5.6;6.0;4.0;9650;139;149;22.7
Q4 2003;4.7;7.3;1.1;3.1;5.8;1.5;0.9;3.2;4.4;5.4;5.9;4.0;10800;143;151;21.1
Q1 2004;2.3;5.2;1.8;5.0;5.7;3.4;0.9;3.0;4.1;5.0;5.6;4.0;11039;148;161;21.6
Q2 2004;3.1;6.5;4.2;7.0;5.6;3.2;1.1;3.7;4.7;5.7;6.1;4.0;11145;154;169;20.0
Q3 2004;3.8;6.5;2.6;4.6;5.4;2.6;1.5;3.5;4.4;5.4;5.9;4.4;10894;159;180;19.3
Q4 2004;4.1;7.4;4.7;8.4;5.4;4.4;2.0;3.5;4.3;5.1;5.7;4.9;11952;165;180;16.6
Q1 2005;4.5;7.9;-5.3;-3.1;5.3;2.0;2.5;3.9;4.4;5.2;5.8;5.4;11637;172;186;14.7
Q2 2005;2.0;5.0;3.7;6.4;5.1;2.7;2.9;3.9;4.2;5.4;5.7;5.9;11857;179;189;17.7
Q3 2005;3.2;7.0;1.5;5.9;5.0;6.2;3.4;4.0;4.3;5.4;5.8;6.4;12283;185;198;14.2
Q4 2005;2.2;5.6;3.6;7.0;5.0;3.8;3.8;4.4;4.6;5.8;6.2;7.0;12497;190;204;16.5
Q1 2006;5.5;8.5;7.6;9.9;4.7;2.1;4.4;4.6;4.7;5.8;6.2;7.4;13122;194;210;14.6
Q2 2006;1.0;4.6;1.5;5.1;4.6;3.7;4.7;5.0;5.2;6.3;6.6;7.9;12809;192;219;23.8
Q3 2006;0.6;3.4;0.6;3.5;4.6;3.8;4.9;4.8;5.0;6.3;6.6;8.3;13323;191;225;18.6
Q4 2006;3.5;5.0;5.0;4.3;4.4;-1.6;4.9;4.6;4.7;6.0;6.2;8.3;14216;191;230;12.7
Q1 2007;1.2;5.1;3.1;6.9;4.5;4.0;5.0;4.6;4.8;6.0;6.2;8.3;14354;189;236;19.6
Q2 2007;2.5;5.3;2.0;5.5;4.5;4.6;4.7;4.7;4.9;6.2;6.4;8.3;15163;183;246;18.9
Q3 2007;2.3;4.6;0.7;3.0;4.7;2.6;4.3;4.5;4.8;6.5;6.6;8.2;15318;178;251;30.8
Q4 2007;2.5;4.2;0.5;4.6;4.8;5.0;3.4;3.8;4.4;6.3;6.2;7.5;14754;173;249;31.1
Q1 2008;-1.7;-0.2;1.7;5.1;5.0;4.4;2.1;2.8;3.9;6.4;5.9;6.2;13284;166;229;32.2
Q2 2008;2.4;4.4;8.5;12.8;5.3;5.3;1.6;3.2;4.1;6.7;6.1;5.1;13016;158;233;24.1
Q3 2008;-2.1;0.9;-7.5;-3.5;6.0;6.3;1.5;3.1;4.1;7.1;6.3;5.0;11826;151;228;46.7
Q4 2008;-8.5;-7.6;4.6;-1.9;6.9;-8.9;0.3;2.2;3.7;9.7;5.9;4.1;9057;143;221;80.9
Q1 2009;-4.5;-4.8;-0.3;-3.0;8.3;-2.7;0.2;1.9;3.2;9.1;5.1;3.3;8044;139;207;56.7
Q2 2009;-0.7;-1.4;2.7;4.3;9.3;2.1;0.2;2.3;3.7;8.1;5.0;3.3;9343;139;170;42.3
Q3 2009;1.4;1.9;-4.8;-2.1;9.6;3.5;0.2;2.5;3.8;6.5;5.2;3.3;10813;140;165;31.3
Q4 2009;4.4;5.7;0.6;3.7;9.9;3.2;0.1;2.3;3.7;5.8;4.9;3.3;11385;141;154;30.7
Q1 2010;2.0;3.1;2.4;4.0;9.8;0.6;0.1;2.4;3.9;5.6;5.0;3.3;12033;139;159;27.3
Q2 2010;3.9;6.0;6.8;7.5;9.6;-0.1;0.1;2.3;3.6;5.4;4.9;3.3;10646;140;171;45.8
Q3 2010;3.1;4.4;2.2;3.0;9.5;1.2;0.2;1.6;2.9;4.8;4.4;3.3;11814;137;170;32.9
Q4 2010;2.1;4.5;1.5;4.2;9.5;3.3;0.1;1.5;3.0;4.7;4.4;3.3;13132;136;172;23.5
Q1 2011;-0.9;1.1;4.1;7.6;9.0;4.3;0.1;2.1;3.5;5.0;4.8;3.3;13909;133;178;29.4
Q2 2011;2.7;5.5;-0.8;3.2;9.1;4.6;0.0;1.8;3.3;4.8;4.7;3.3;13844;134;175;22.7
Q3 2011;-0.1;2.3;2.1;4.1;9.0;2.6;0.0;1.1;2.5;4.5;4.3;3.3;11677;134;172;48.0
Q4 2011;4.6;5.1;0.9;2.2;8.6;1.8;0.0;1.0;2.1;4.8;4.0;3.3;13019;134;183;45.5
